seed,metric,partition,model0,model1,cifar10,digit,mnist,partition_metric,shape,svhn
5,lcs_knn,partition3,all0,all1,0.091000,0.893103,0.108700,0.878023,0.441750,0.105841
5,cka,partition3,all0,all1,0.572087,0.804098,0.253080,0.638972,0.754473,0.680091
5,unbiased_cka,partition3,all0,all1,0.571273,0.744285,0.251829,0.636266,0.692491,0.679593
5,cknna,partition3,all0,all1,0.031407,0.551388,0.045714,0.517163,0.252326,0.046946
5,svcca,partition3,all0,all1,0.556090,0.632432,0.453896,0.229131,0.774050,0.640269
5,edit_distance_knn,partition3,all0,all1,0.751480,0.799655,0.751730,0.782320,0.761400,0.751618
6,cycle_knn,partition1,shape,digit,0.031200,0.724138,0.096500,0.017532,0.153000,0.039993
6,mutual_knn,partition1,shape,digit,0.003710,0.154310,0.011280,0.001730,0.019750,0.004441
6,lcs_knn,partition1,shape,digit,0.010800,0.325862,0.027600,0.004836,0.050750,0.010742
6,cka,partition1,shape,digit,0.145818,0.165249,0.101805,0.000399,0.396018,0.161719
6,unbiased_cka,partition1,shape,digit,0.145129,0.161727,0.101356,0.000013,0.388835,0.160835
6,cknna,partition1,shape,digit,0.002429,0.188253,0.008717,0.001379,0.013815,0.003150
6,svcca,partition1,shape,digit,0.176317,0.350581,0.237454,0.028602,0.365504,0.211480
6,edit_distance_knn,partition1,shape,digit,0.750100,0.767155,0.750320,0.750060,0.750475,0.750140
6,cycle_knn,partition2,shape_digit,shape_color,0.065100,0.800000,0.121500,0.156157,0.172000,0.078962
6,mutual_knn,partition2,shape_digit,shape_color,0.007830,0.214483,0.015120,0.019834,0.025475,0.009928
6,lcs_knn,partition2,shape_digit,shape_color,0.019000,0.440517,0.038300,0.045526,0.052500,0.023205
6,cka,partition2,shape_digit,shape_color,0.209241,0.356378,0.069666,0.450936,0.266505,0.269158
6,unbiased_cka,partition2,shape_digit,shape_color,0.208538,0.345302,0.069277,0.449484,0.251144,0.268961
6,cknna,partition2,shape_digit,shape_color,0.005769,0.269752,0.013011,0.017147,0.019890,0.008397
6,svcca,partition2,shape_digit,shape_color,0.280564,0.418916,0.240601,0.552331,0.397465,0.317486
6,edit_distance_knn,partition2,shape_digit,shape_color,0.750320,0.772069,0.750340,0.750665,0.750550,0.750279
6,cycle_knn,partition2,shape_digit,digit_color,0.101200,0.919828,0.256900,0.147135,0.304750,0.129232
6,mutual_knn,partition2,shape_digit,digit_color,0.013710,0.326983,0.040250,0.018350,0.051125,0.020438
6,lcs_knn,partition2,shape_digit,digit_color,0.032500,0.613793,0.087100,0.045340,0.113250,0.046038
6,cka,partition2,shape_digit,digit_color,0.167138,0.402081,0.296738,0.378613,0.498451,0.444004
6,unbiased_cka,partition2,shape_digit,digit_color,0.166132,0.381218,0.296082,0.376738,0.447602,0.443730
6,cknna,partition2,shape_digit,digit_color,0.009995,0.386578,0.035579,0.015486,0.041055,0.017279
6,svcca,partition2,shape_digit,digit_color,0.371813,0.529673,0.377111,0.493769,0.473894,0.517822
6,edit_distance_knn,partition2,shape_digit,digit_color,0.750390,0.780948,0.751130,0.750642,0.751375,0.750707
6,cycle_knn,partition2,shape_color,digit_color,0.112900,0.858621,0.119100,0.099144,0.671000,0.159598
6,mutual_knn,partition2,shape_color,digit_color,0.014980,0.266897,0.014920,0.010593,0.185650,0.021791
6,lcs_knn,partition2,shape_color,digit_color,0.035100,0.500000,0.032800,0.024647,0.332500,0.048968
6,cka,partition2,shape_color,digit_color,0.216525,0.854771,0.067747,0.180850,0.626393,0.478803
6,unbiased_cka,partition2,shape_color,digit_color,0.215858,0.829740,0.066778,0.178545,0.566458,0.478675
